name,base_data,new_data
github.com/mattn/go-isatty,['v0.0.13' 'v0.0.12' 'v0.0.4'],[]
github.com/mattn/go-runewidth,['v0.0.7'],[]
github.com/mgutz/ansi,['v0.0.0-20170206155736-9520e82c474b'],[]
github.com/mitchellh/copystructure,['v1.0.0'],[]
github.com/mitchellh/mapstructure,['v1.4.3' 'v1.4.1' 'v1.1.2'],[]
github.com/mitchellh/reflectwalk,['v1.0.1'],[]
github.com/modern-go/reflect2,['v1.0.1'],[]
github.com/olekukonko/tablewriter,['v0.0.4'],[]
github.com/opencontainers/image-spec,['v1.0.2-0.20210730191737-8e42a01fb1b7' 'v1.0.3-0.20211202183452-c5a74bcca799'],[]
github.com/pelletier/go-toml,['v1.9.3' 'v1.9.4'],[]
github.com/pelletier/go-toml/v2,['v2.0.1'],[]
github.com/pkg/errors,['v0.0.0-20170505043639-c605e284fe17'],[]
github.com/sigstore/cosign,['v1.3.2-0.20211120003522-90e2dcfe7b92' 'v1.10.1'],[]
github.com/sigstore/fulcio,['v0.1.2-0.20220114150912-86a2036f9bc7'],[]
github.com/sigstore/rekor,['v0.4.1-0.20220114213500-23f583409af3' 'v0.10.0'],[]
github.com/sigstore/sigstore,['v1.2.1-0.20220526001230-8dc4fa90a468' 'v1.0.2-0.20211115214857-534e133ebf9d' 'v1.2.1-0.20220614141825-9c0e2e247545'],[]
github.com/sirupsen/logrus,['v1.8.1' 'v1.6.0'],[]
github.com/spf13/afero,['v1.2.2' 'v1.6.0'],[]
github.com/spf13/cast,['v1.4.1'],[]
github.com/spf13/cobra,['v1.0.0' 'v1.4.0' 'v0.0.3'],[]
github.com/spf13/pflag,['v1.0.3'],[]
github.com/spf13/viper,['v1.12.0' 'v1.10.1'],[]
github.com/subosito/gotenv,['v1.3.0' 'v1.2.0'],[]
github.com/syndtr/goleveldb,['v1.0.1-0.20210819022825-2ae1ddf74ef7'],[]
github.com/theupdateframework/go-tuf,['v0.3.1' 'v0.3.0' 'v0.0.0-20210722233521-90e262754396'],[]
github.com/ulikunitz/xz,['v0.5.8'],[]
github.com/xanzy/go-gitlab,['v0.70.0'],[]
gnupg,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gnupg-l10n,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gnupg-utils,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gnupg2,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
go.mongodb.org/mongo-driver,['v1.4.6'],[]
go.opencensus.io,['v0.22.2'],[]
go.uber.org/atomic,['v1.9.0' 'v1.7.0'],[]
go.uber.org/multierr,['v1.7.0'],[]
go.uber.org/zap,['v1.19.0' 'v1.19.1' 'v1.21.0'],[]
golang.org/x/crypto,['v0.0.0-20220112180741-5e0467b6c7ce' 'v0.0.0-20210817164053-32db794688a5' 'v0.0.0-20220331220935-ae2d96664a29' 'v0.0.0-20220622213112-05595931fe9d' 'v0.0.0-20220411220226-7b82a4e95df4' 'v0.0.0-20200622213623-75b288015ac9' 'v0.0.0-20220315160706-3147a52a75dd'],[]
golang.org/x/exp,['v0.0.0-20210220032938-85be41e4509f'],[]
golang.org/x/mod,['v0.6.0-dev.0.20220106191415-9b9b3d81d5e3'],[]
golang.org/x/net,['v0.0.0-20211216030914-fe4d6282115f' 'v0.0.0-20201224014010-6772e930b67b' 'v0.0.0-20211112202133-69e39bad7dc2' 'v0.0.0-20220708220712-1185a9018129' 'v0.0.0-20220127200216-cd36cc0744dd' 'v0.0.0-20220520000938-2e3eb7b945c2' 'v0.0.0-20210902165921-8d991716f632' 'v0.0.0-20220127074510-2fabfed7e28f'],[]
golang.org/x/oauth2,['v0.0.0-20190604053449-0f29369cfe45' 'v0.0.0-20220718184931-c8730f7fcb92' 'v0.0.0-20211104180415-d3ed0bb246c8' 'v0.0.0-20210819190943-2bc19b11175f'],[]
golang.org/x/sync,['v0.0.0-20220513210516-0976fa681c29' 'v0.0.0-20220601150217-0de741cfad7f' 'v0.0.0-20210220032951-036812b2e83c'],[]
golang.org/x/sys,['v0.0.0-20210615035016-665e8c7367d1' 'v0.0.0-20220517195934-5e4e11fc645e' 'v0.0.0-20210908233432-aa78b53d3365' 'v0.0.0-20211116061358-0a5406a5449c' 'v0.0.0-20220715151400-c0bba94af5f8' 'v0.0.0-20220209214540-3681064d5158' 'v0.0.0-20210831042530-f4d43177bf5e' 'v0.0.0-20201029080932-201ba4db2418' 'v0.0.0-20220412211240-33da011f77ad'],[]
golang.org/x/term,['v0.0.0-20191110171634-ad39bd3f0407' 'v0.0.0-20210927222741-03fcf44c2211' 'v0.0.0-20210615171337-6886f2dfbf5b'],[]
golang.org/x/text,['v0.3.7'],[]
golang.org/x/time,['v0.0.0-20220411224347-583f2d630306' 'v0.0.0-20220210224613-90d013bbcef8' 'v0.0.0-20210723032227-1f47c861a9ac' 'v0.0.0-20190921001708-c4c64cad1fd0'],[]
golang.org/x/xerrors,['v0.0.0-20200804184101-5ec99f83aff1'],[]
google.golang.org/api,['v0.63.0' 'v0.56.0' 'v0.22.0' 'v0.88.0' 'v0.91.0'],[]
